Model,Alpha,Coverage,Width %,ACE %
AutoARIMA,0.1,0.9114,24.1576,1.1374
AutoARIMA,0.15,0.8684,21.4386,1.8379
AutoARIMA,0.2,0.8247,19.3657,2.474
AutoETS,0.1,0.9153,23.6517,1.5343
AutoETS,0.15,0.871,21.166,2.1024
AutoETS,0.2,0.8221,19.1493,2.21
HistoricAverage,0.1,0.9134,23.6255,1.3357
HistoricAverage,0.15,0.8704,21.075,2.0364
HistoricAverage,0.2,0.8221,19.0867,2.2095
Naive,0.1,0.914,33.7698,1.4012
Naive,0.15,0.8757,30.0086,2.5652
Naive,0.2,0.8208,27.1817,2.0774
RWD,0.1,0.914,33.8488,1.4014
RWD,0.15,0.875,30.0838,2.499
RWD,0.2,0.8208,27.2529,2.0779
WindowAverage,0.1,0.9087,23.6998,0.8726
WindowAverage,0.15,0.8724,21.2557,2.2352
WindowAverage,0.2,0.8214,19.2983,2.1438
